Years,agriculture,mining,manufacturing,power,government,sevices,gdp_market_price
1950,129.0,95.0,17.0,46.0,4.0,30.0,445.0
1951,145.0,109.0,20.0,56.0,5.0,36.0,509.0
1952,156.0,122.0,23.0,62.0,6.0,43.0,572.0
1953,177.0,108.0,27.0,54.0,7.0,49.0,594.0
1954,170.0,106.0,27.0,58.0,7.0,53.0,590.0
1955,179.0,109.0,26.0,60.0,7.0,55.0,618.0
1956,200.0,120.0,26.0,61.0,9.0,57.0,661.0
1957,200.0,115.0,29.0,68.0,9.0,60.0,683.0
1958,188.0,102.0,30.0,68.0,10.0,64.0,678.0
1959,200.0,114.0,32.0,72.0,10.0,72.0,723.0
1960,128.0,75.0,65.0,71.0,11.0,81.0,653.0
1961,182.0,111.0,52.0,78.0,12.0,93.0,772.0
1962,174.0,115.0,52.0,84.0,12.0,101.0,795.0
1963,296.0,176.0,49.0,92.0,14.0,114.0,1020.0
1964,180.0,119.0,53.0,95.0,16.0,122.0,882.0
1965,209.0,133.0,55.0,102.0,16.0,118.0,941.0
1966,199.0,125.0,52.0,99.0,16.0,123.0,928.0
1967,214.0,134.0,59.0,100.0,17.0,131.0,987.0
1968,203.0,128.0,49.0,102.0,16.0,141.0,982.0
1969,235.0,147.0,46.0,105.0,18.0,150.0,1053.0
1970,222.0,146.0,48.0,108.0,20.0,155.0,1067.0
1971,262.0,168.0,60.0,114.0,18.0,169.0,1185.0
1972,353.0,233.0,73.0,129.0,22.0,167.0,1446.0
1973,494.0,277.0,114.0,161.0,31.0,197.0,1847.0
1974,1323.0,505.0,155.0,195.0,44.0,275.0,3216.0
1975,1034.0,564.0,217.0,281.0,66.0,326.0,3416.0
1976,938.0,7.0,631.0,228.0,333.0,197.0,4165.0
1977,939.0,9.0,699.0,209.0,406.0,241.0,4776.0
1978,977.0,11.0,801.0,218.0,506.0,290.0,5494.0
1979,1224.0,12.0,972.0,276.0,552.0,349.0,6540.0
1980,914.0,15.0,1127.0,178.0,561.0,415.0,7389.0
1981,1257.0,16.0,1377.0,251.0,588.0,502.0,8765.0
1982,1530.0,17.0,1560.0,313.0,625.0,596.0,10020.0
1983,1465.0,18.0,1678.0,265.0,655.0,650.0,10613.0
1984,1736.0,19.0,2183.0,326.0,690.0,685.0,12050.0
1985,2123.0,20.0,2864.0,438.0,775.0,720.0,13880.0
1986,2510.0,22.0,3830.0,605.0,880.0,776.0,16450.0
1987,2941.0,26.0,4976.0,676.0,1090.0,940.0,20341.0
1988,3140.0,32.0,5847.0,597.0,1410.0,1120.0,24061.0
1989,3461.0,40.0,6648.0,652.0,1790.0,1384.0,28083.0
1990,3998.0,50.0,7784.0,720.0,2285.0,1715.0,33030.0
1991,4206.0,60.0,8766.0,727.0,2680.0,2061.0,37553.0
1992,4590.0,70.0,9952.0,821.0,3065.0,2382.0,42393.0
1993,4670.0,80.0,11188.0,773.0,3548.0,2757.0,48186.0
1994,4960.0,90.0,12686.0,810.0,4032.0,3286.0,54848.0
1995,5860.0,100.0,14383.0,1010.0,4082.0,3600.0,61489.0
1996,6592.0,110.0,16455.0,1207.0,4461.0,4064.0,69030.0
1997,6650.0,119.0,18247.0,1247.0,4615.0,4574.0,76149.0
1998,7328.0,127.0,21011.0,1543.0,5098.0,5246.0,86304.0
1999,5466.0,159.0,22043.0,1368.0,6095.0,3127.0,109400.0
2000,6984.0,163.0,24171.0,1760.0,6693.0,3484.0,122410.0
2001,8262.0,156.0,26934.0,2578.0,7132.0,3776.0,134392.0
2002,7530.0,99.0,27654.0,2947.0,7764.0,4250.0,145055.0
2003,8403.0,88.0,29260.0,3368.0,8991.0,4771.0,162291.0
2004,9545.0,90.0,31725.0,3505.0,10098.0,5378.0,180908.0
2005,9527.0,88.0,32331.0,3228.0,10908.0,6035.0,191393.0
2006,9759.0,85.0,36818.0,3239.0,11650.0,7013.0,213444.0
2007,9653.0,79.0,41409.0,3321.0,12041.0,8240.0,243998.0
2008,9942.0,108.0,47128.0,4590.0,13780.0,9805.0,274316.0
2009,9800.0,101.0,47325.0,5398.0,15322.0,10857.0,282354.0
2010,9677.0,107.0,47764.0,5401.0,16159.0,12050.0,298784.0
2011,10253.0,1041.0,48182.0,4491.0,17189.0,5021.0,323310.0
2012,10494.0,1000.0,50537.0,4092.0,17984.0,5566.0,343942.0
2013,10405.0,990.0,55021.0,4491.0,21283.0,6119.0,366325.0
2014,10853.0,975.0,56458.0,5288.0,22784.0,6644.0,386229.0
2015,10308.0,970.0,57629.0,5320.0,23705.0,7039.0,403536.0
2016,10873.0,1019.0,60091.0,5856.0,26435.0,7526.0,431823.0
