Years,Public_Male,Public_Female,Public_Total,Private_Male,Private_Female,Private_Total,Overseas_Male,Overseas_Female,Overseas_Total,Overall_Male,Overall_Female,Overall_Total
2000,4185.0,4872.0,9057.0,2522.0,2733.0,5255.0,1087.0,1336.0,2423.0,7794.0,8941.0,16735.0
2001,5025.0,5996.0,11021.0,2928.0,3172.0,6100.0,1365.0,1654.0,3019.0,9318.0,10822.0,20140.0
2002,4856.0,5024.0,9880.0,3476.0,3766.0,7242.0,2146.0,2645.0,4791.0,10478.0,11435.0,21913.0
2003,6403.0,6307.0,12710.0,3603.0,3904.0,7507.0,2464.0,3004.0,5468.0,12470.0,13215.0,25685.0
2004,5625.0,6088.0,11713.0,3607.0,3908.0,7515.0,2968.0,3878.0,6846.0,12200.0,13874.0,26074.0
2005,6597.0,6800.0,13397.0,3893.0,4217.0,8110.0,3265.0,4092.0,7357.0,13755.0,15109.0,28864.0
2006,7140.0,8324.0,15464.0,4461.0,4832.0,9293.0,3621.0,4852.0,8473.0,15222.0,18008.0,33230.0
2007,6808.0,9072.0,15880.0,4614.0,4998.0,9612.0,4139.0,5392.0,9531.0,15561.0,19462.0,35023.0
2008,7316.0,10056.0,17372.0,4801.0,5202.0,10003.0,4827.0,6421.0,11248.0,16944.0,21679.0,38623.0
2009,8970.0,10912.0,19882.0,5118.0,5545.0,10663.0,4643.0,6296.0,10939.0,18731.0,22753.0,41484.0
2010,9408.0,12358.0,21766.0,5889.0,5772.0,11661.0,4388.0,6519.0,10907.0,19685.0,24649.0,44334.0
2011,9240.0,13202.0,22442.0,6398.0,7066.0,13464.0,3999.0,6064.0,10063.0,19637.0,26332.0,45969.0
2012,8672.0,12890.0,21562.0,8818.0,9785.0,18603.0,3812.0,5648.0,9460.0,21302.0,28323.0,49625.0
2013,10343.0,13284.0,23627.0,8534.0,9460.0,17994.0,3494.0,5464.0,8958.0,22371.0,28208.0,50579.0
2014,9936.0,12857.0,22793.0,8372.0,9292.0,17664.0,4019.0,6132.0,10151.0,22327.0,28281.0,50608.0
2015,9037.0,12584.0,21621.0,7495.0,8755.0,16250.0,4202.0,6897.0,11099.0,20734.0,28236.0,48970.0
2016,8716.0,12250.0,20966.0,8016.0,9196.0,17212.0,3992.0,5919.0,9911.0,20724.0,27365.0,48089.0
